haplo.freq,locus1,locus2,allele1,allele2
0.01121,A,B,11:01,55:01
0.0108,A,B,25:01,18:01
0.01058,A,B,31:01,51:01
0.00994,A,B,02:01,27:03
0.00965,A,B,02:01,57:01
0.00965,A,B,26:01,38:01
0.00961,A,B,68:01,07:02
0.00941,A,B,02:01,44:03
0.00924,A,B,02:01,18:01
0.00913,A,B,24:02,15:01
0.00905,A,B,03:01,40:01
0.00904,A,B,03:01,27:03
0.00821,A,B,68:01,40:01
0.00804,A,B,02:05,49:01
0.00804,A,B,33:01,14:02
0.00723,A,B,24:02,55:01
0.00668,A,B,02:01,08:01
0.00643,A,B,24:02,40:02
0.00639,A,B,11:01,08:01
0.00637,A,B,23:01,49:01
0.00597,A,B,31:01,40:01
0.00536,A,B,01:01,44:02
0.00524,A,B,01:01,18:01
0.00494,A,B,01:01,45:01
0.00482,A,B,33:01,53:01
0.00482,A,B,68:01,44:02
0.00482,A,B,33:01,50:01
0.00482,A,B,02:01,38:01
0.00482,A,B,03:01,14:02
0.00482,A,B,24:02,35:08
0.00482,A,B,32:01,40:02
0.00482,A,B,30:01,13:02
0.00482,A,B,02:01,48:01
0.00474,A,B,01:01,50:01
0.00469,A,B,03:01,51:01
0.00464,A,B,29:02,07:02
0.00448,A,B,01:01,40:01
0.00431,A,B,03:01,27:05
0.00414,A,B,03:01,14:01
0.00404,A,B,11:01,51:01
0.00388,A,B,11:01,27:03
0.00365,A,B,11:01,18:01
0.00361,A,B,26:01,08:01
0.00353,A,B,68:01,51:01
0.00343,A,B,68:01,35:01
0.00342,A,B,01:01,35:01
0.00335,A,B,03:01,45:01
0.00326,A,B,01:01,55:01
0.00324,A,B,25:01,44:02
0.00322,A,B,03:01,56:01
0.00322,A,B,32:01,35:01
0.00322,A,B,24:02,14:02
0.00322,A,B,01:01,27:05
0.00322,A,B,68:01,35:02
0.00322,A,B,23:01,35:01
0.00322,A,B,66:01,58:02
0.00322,A,B,32:01,50:01
0.00322,A,B,11:01,38:01
0.00322,A,B,02:01,58:01
0.00322,A,B,30:01,53:01
0.00322,A,B,74:01,15:03
0.00322,A,B,23:01,53:01
0.00322,A,B,24:02,41:02
0.00322,A,B,24:02,13:02
0.00322,A,B,31:01,58:01
0.00322,A,B,30:01,58:01
0.00322,A,B,30:02,18:01
0.00322,A,B,03:01,49:01
0.00322,A,B,11:01,56:01
0.00322,A,B,26:01,56:01
0.00322,A,B,24:02,44:03
0.00322,A,B,32:01,51:01
0.00308,A,B,01:01,15:01
0.00286,A,B,23:01,45:01
0.00283,A,B,68:01,15:01
0.00282,A,B,26:01,07:02
0.00279,A,B,01:01,27:03
0.00275,A,B,31:01,15:01
0.00241,A,B,24:02,07:05
0.00241,A,B,26:01,55:01
0.00226,A,B,03:01,15:01
0.00216,A,B,01:01,44:03
0.00206,A,B,25:01,40:01
0.00202,A,B,23:01,07:02
0.00194,A,B,11:01,44:02
0.00184,A,B,29:02,45:01
0.00181,A,B,29:02,08:01
0.0018,A,B,01:01,35:02
0.00178,A,B,11:01,40:01
0.00174,A,B,33:01,07:02
0.00173,A,B,24:02,40:01
0.0017,A,B,24:02,44:02
0.00169,A,B,25:01,35:01
0.00169,A,B,29:02,50:01
0.00168,A,B,24:02,27:03
0.00167,A,B,03:01,52:01
0.00167,A,B,30:02,07:02
0.00167,A,B,24:02,49:01
0.00163,A,B,03:01,44:03
0.00161,A,B,32:01,39:01
0.00161,A,B,01:01,49:01
0.00161,A,B,30:02,41:01
0.00161,A,B,30:02,44:03
0.00161,A,B,23:01,38:01
0.00161,A,B,34:02,51:01
0.00161,A,B,66:01,35:01
0.00161,A,B,26:01,27:05
0.00161,A,B,25:01,15:01
0.00161,A,B,30:02,14:02
0.00161,A,B,24:02,27:04
0.00161,A,B,31:01,39:06
0.00161,A,B,31:01,07:02
0.00161,A,B,03:01,37:01
0.00161,A,B,24:07,15:02
0.00161,A,B,01:01,53:01
0.00161,A,B,32:01,51:08
0.00161,A,B,02:01,15:03
0.00161,A,B,03:01,47:01
0.00161,A,B,33:01,78:01
0.00161,A,B,26:01,49:01
0.00161,A,B,29:01,44:03
0.00161,A,B,02:01,44:05
0.00161,A,B,30:02,51:01
0.00161,A,B,11:01,13:02
0.00161,A,B,02:02,44:05
0.00161,A,B,24:02,57:01
0.00161,A,B,24:02,39:06
0.00161,A,B,33:01,15:16
0.00161,A,B,11:01,15:32
0.00161,A,B,02:06,40:02
0.00161,A,B,31:01,35:32
0.00161,A,B,34:02,15:03
0.00161,A,B,36:01,45:01
0.00161,A,B,68:01,50:01
0.00161,A,B,32:01,15:01
0.00161,A,B,01:02,49:01
0.00161,A,B,30:01,50:01
0.00161,A,B,24:05,39:01
0.00161,A,B,68:01,49:01
0.00161,A,B,68:01,13:02
0.00161,A,B,34:02,39:06
0.00161,A,B,02:02,58:01
0.00161,A,B,11:01,27:02
0.00161,A,B,02:01,57:03
0.00161,A,B,33:01,52:01
0.00161,A,B,02:06,44:02
0.00161,A,B,68:03,35:17
0.00161,A,B,29:01,45:01
0.00161,A,B,02:05,42:01
0.00161,A,B,69:01,58:01
0.00161,A,B,23:01,35:02
0.00161,A,B,29:02,18:01
0.00161,A,B,23:01,14:01
0.00161,A,B,68:02,15:03
0.00161,A,B,02:01,35:17
0.00161,A,B,68:01,15:15
0.00161,A,B,02:06,15:30
0.00161,A,B,30:01,41:01
0.00161,A,B,68:05,40:08
0.00161,A,B,68:02,14:02
0.00161,A,B,03:01,27:02
0.00161,A,B,03:01,57:02
0.00161,A,B,11:01,52:01
0.00161,A,B,02:05,35:02
0.00161,A,B,66:01,57:01
0.00161,A,B,31:01,39:02
0.00161,A,B,31:01,41:01
0.00161,A,B,30:02,57:03
0.00161,A,B,26:01,39:06
0.00161,A,B,25:01,58:01
0.00161,A,B,26:01,14:01
0.00161,A,B,74:01,15:10
0.00161,A,B,34:01,51:01
0.00161,A,B,68:02,15:10
0.00161,A,B,02:02,41:01
0.00161,A,B,31:01,39:01
0.00161,A,B,25:01,55:01
0.00161,A,B,69:01,13:02
0.00161,A,B,23:01,51:01
0.00161,A,B,32:01,56:01
0.00161,A,B,24:02,15:17
0.00161,A,B,33:01,41:01
0.00161,A,B,33:05,14:02
0.00161,A,B,68:01,56:01
0.00161,A,B,24:02,15:06
0.00161,A,B,24:02,39:10
0.00161,A,B,24:02,35:02
0.00161,A,B,33:01,58:02
0.00161,A,B,31:01,13:02
0.00161,A,B,33:01,82:01
0.00161,A,B,31:01,35:08
0.00161,A,B,68:02,44:02
0.00161,A,B,66:02,27:05
0.00161,A,B,32:01,55:01
0.00161,A,B,32:01,40:05
0.00161,A,B,24:02,81:01
0.00159,A,B,02:01,27:05
0.00156,A,B,11:01,15:01
0.00154,A,B,30:02,52:01
0.00149,A,B,25:01,27:05
0.00147,A,B,33:01,45:01
0.00141,A,B,02:01,35:02
0.00084,A,B,11:01,07:02
8.00E-04,A,B,26:01,07:05
0.00069,A,B,68:01,14:01
0.00065,A,B,68:01,27:05
0.06473,A,DRB1,01:01,03:01
0.04306,A,DRB1,03:01,15:01
0.02957,A,DRB1,03:01,01:01
0.02775,A,DRB1,01:01,07:01
